GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2021;unter 1 Jahr;112744;133995;38071;19294;6731;20356;61392;11903;76420;174065;38682;8360;32458;15982;25456;15345
31.12.2021;1-Jährige;108774;129958;37693;20183;6804;19346;59701;12422;75634;171831;38588;8285;33594;16488;25300;16194
31.12.2021;2-Jährige;109823;129569;37690;21199;6948;19490;60328;13083;76491;172990;38639;8206;34861;17170;25782;16876
31.12.2021;3-Jährige;111115;129633;37705;22509;6926;19419;61762;13619;77243;176766;39566;8290;36387;17945;26678;17771
31.12.2021;4-Jährige;110863;129953;38045;23516;6767;19463;62270;13839;77910;177260;40191;8580;37871;18719;26965;18593
31.12.2021;5-Jährige;110759;129250;38034;24508;6729;19433;62702;14287;78560;178609;40250;8562;38804;19105;27483;19067
31.12.2021;6-Jährige;107308;124700;36094;23649;6583;18409;60777;14542;75634;171997;38629;8258;38398;18785;26555;19079
31.12.2021;7-Jährige;104892;122233;35629;24394;6389;17869;59287;14274;75584;169537;38102;8204;38181;18965;26469;19269
31.12.2021;8-Jährige;101860;119134;34079;23203;5987;17215;57540;14056;72251;162458;36546;7772;37232;18515;25706;18915
31.12.2021;9-Jährige;100626;118194;34072;23666;5926;16865;57334;14164;71926;163252;36093;7866;37373;18615;26111;18772
31.12.2021;10-Jährige;99003;114168;32367;23189;5603;16014;57279;14075;70824;159353;35946;8073;36750;18218;25366;18438
31.12.2021;11-Jährige;101858;116082;32879;23913;5920;16250;58225;14641;73267;163778;36530;8061;37241;18560;26517;18878
31.12.2021;12-Jährige;100994;114417;32191;23272;5987;15956;57403;14342;72499;161779;35773;8033;36091;18277;26187;18046
31.12.2021;13-Jährige;103385;117764;32344;23593;5925;16363;58682;14382;74527;167177;36973;8239;36499;18869;26855;18503
31.12.2021;14-Jährige;103817;117438;31348;22993;6207;15957;58554;13812;74585;166496;36831;8106;35391;18161;27096;18076
31.12.2021;15-Jährige;102680;115309;30113;21862;6035;15745;57347;13418;73959;164680;35992;8013;33758;17376;26682;17049
31.12.2021;16-Jährige;104908;117495;29535;21504;5977;15847;58635;13006;75378;167441;36714;8310;33762;17556;26745;17244
31.12.2021;17-Jährige;106866;120281;29734;21796;6099;15873;59540;13580;78025;171263;37537;8450;34140;17412;27843;17810
31.12.2021;18-Jährige;108834;122742;29457;21033;6378;16138;59795;13308;79180;173246;38326;8510;33698;17075;28003;17227
31.12.2021;19-Jährige;113306;127598;31120;20216;6570;16940;61489;13206;82190;179173;39213;8829;34257;17671;28496;17432
31.12.2021;20-Jährige;117810;133987;33423;19737;7548;18397;64172;13617;84381;187189;40668;9110;35488;18330;29307;18271
31.12.2021;21-Jährige;125756;142715;37137;20294;8281;20580;68694;14180;88800;198581;43254;9624;37656;19132;30950;18653
31.12.2021;22-Jährige;129327;148366;39314;19601;8843;21875;70666;13438;89689;202663;44014;10088;36794;18615;31531;18167
31.12.2021;23-Jährige;133530;155900;42165;18925;9307;23836;73466;13147;91943;209237;45312;10149;36001;17984;31330;17900
31.12.2021;24-Jährige;139705;162589;46612;18324;9515;26178;78364;13238;95665;219729;47879;10949;36253;18234;32429;18019
31.12.2021;25-Jährige;139281;162243;49213;17629;9518;27111;77052;12592;94058;219907;47416;11087;35266;17232;32052;16938
31.12.2021;26-Jährige;138023;161722;51509;16373;9411;27433;76158;11487;92073;216357;46297;10913;33007;16019;31135;15840
31.12.2021;27-Jährige;139843;164016;53829;15994;9555;28902;77352;10848;93180;220325;47519;11169;32011;15298;31616;14751
31.12.2021;28-Jährige;143684;171160;56293;15930;9599;29679;78927;11150;95053;227101;49349;11450;32313;15523;32238;15184
31.12.2021;29-Jährige;145456;173481;57959;17251;9541;29886;79498;12182;95399;228759;50060;11857;33152;16424;32617;16014
31.12.2021;30-Jährige;148722;176950;60675;19821;9736;30832;81615;13533;96881;232650;51309;12027;37835;18237;33642;17946
31.12.2021;31-Jährige;155874;185381;68537;28751;9979;32507;85692;19853;101461;241152;53196;12415;52711;25932;35576;25137
31.12.2021;32-Jährige;151922;180715;68498;30947;9857;31526;84711;20914;99494;233807;52158;12142;54621;26840;34874;25679
31.12.2021;33-Jährige;154546;184145;68580;32546;9926;31787;85379;21861;101928;237809;53474;12386;55975;28041;35902;27494
31.12.2021;34-Jährige;148793;178341;66545;33462;9406;30300;83022;22290;99860;232083;52167;12169;56816;28083;35322;27896
31.12.2021;35-Jährige;147686;176686;63954;32962;9265;29276;81750;21539;97890;227416;51258;11983;54480;27319;34427;27091
31.12.2021;36-Jährige;142710;169600;61743;33752;8864;28258;78881;21366;94335;219154;49323;11450;54656;27006;33341;26894
31.12.2021;37-Jährige;142077;169142;59380;33166;8560;27887;79656;20982;93091;217422;49361;11324;53484;27057;33416;27028
31.12.2021;38-Jährige;140815;170150;57441;33626;8824;27318;79064;21102;94018;217975;49375;11440;53794;27169;33969;27143
31.12.2021;39-Jährige;143873;173797;57208;33999;8931;27335;81352;21360;95508;222940;50485;11708;54214;26948;35171;27794
31.12.2021;40-Jährige;142881;172931;55724;33546;8516;27453;81053;20672;95603;220493;50866;11546;52678;26648;34981;26982
31.12.2021;41-Jährige;143789;171730;54132;34782;8407;27201;81839;21063;96192;221803;49785;11613;53882;27180;35577;27655
31.12.2021;42-Jährige;135389;164442;50368;33259;7957;25491;78539;20582;91898;209984;47838;11064;51647;25932;33783;26462
31.12.2021;43-Jährige;132090;161978;48156;33125;7954;25009;77667;20258;91480;207219;47242;10618;51674;25772;33816;25525
31.12.2021;44-Jährige;131094;160846;46788;31929;7746;24417;76549;19676;90789;207540;46794;10814;50338;24816;33574;25168
31.12.2021;45-Jährige;131701;159256;44731;29088;7808;24258;76616;17241;91092;208271;46102;10334;44898;22215;33805;22544
31.12.2021;46-Jährige;129409;156316;42699;27530;7718;23126;74598;16311;88964;203011;45264;10167;42788;21209;33022;21672
31.12.2021;47-Jährige;132155;158650;41542;26868;7522;23052;75838;15997;91543;205713;45642;10318;42256;21765;33028;22345
31.12.2021;48-Jährige;131389;157950;40325;27318;7689;22592;76033;16404;93134;207861;46536;10370;42633;22626;34003;23085
31.12.2021;49-Jährige;141456;169580;41886;30233;8116;23375;81026;17954;101579;223908;50518;11486;46553;25916;36947;25925
31.12.2021;50-Jährige;151556;182742;46007;35248;8609;24747;87199;20612;111373;244496;55222;12658;54174;30628;41362;29077
31.12.2021;51-Jährige;157278;189147;46522;35735;8993;25291;90867;21147;116502;254610;57880;13085;54035;30913;43059;29690
31.12.2021;52-Jährige;168187;203900;48384;37224;9569;26285;97028;21871;126185;278346;62461;14573;54395;31837;47672;29960
31.12.2021;53-Jährige;175221;211855;50689;39342;10103;28142;101328;23400;132295;290802;65877;15578;55169;32718;50538;30396
31.12.2021;54-Jährige;178343;216401;50725;41402;10177;28131;102787;24411;135980;296562;67610;16082;56929;34067;52268;31443
31.12.2021;55-Jährige;181569;217393;52730;44183;10399;28298;104414;26370;138069;302777;70055;16744;60108;35391;52425;33594
31.12.2021;56-Jährige;180071;214901;54142;45988;10436;27246;104198;27783;136157;300457;69967;17066;62437;37017;51505;34567
31.12.2021;57-Jährige;182276;217490;54853;47643;10301;27514;104571;29186;136938;303381;71336;17459;64791;38440;51837;36398
31.12.2021;58-Jährige;179110;213605;54266;48985;10001;26231;102219;30266;134372;296531;70957;17534;65519;39669;50284;37128
31.12.2021;59-Jährige;172768;206186;51431;48436;9810;24273;97709;30138;129429;283152;69012;17289;64155;39149;47670;36642
31.12.2021;60-Jährige;168535;201895;48590;47558;9299;23138;94601;30359;127491;276407;68389;17437;63957;38875;46346;37647
31.12.2021;61-Jährige;162957;192827;46252;45506;8975;22297;91046;29492;121356;269022;65745;16791;61207;37571;44063;35668
31.12.2021;62-Jährige;155300;185457;44146;44070;8776;21091;87681;28760;117294;260257;63246;16913;60564;36604;42564;35567
31.12.2021;63-Jährige;146886;175237;39982;40414;8369;19986;82530;27090;109969;245261;59592;16104;55784;34237;39924;32932
31.12.2021;64-Jährige;141427;168580;38115;39140;8293;18902;79916;26314;107456;237823;58568;15429;55259;33598;38634;32704
31.12.2021;65-Jährige;136778;161048;37188;38573;7776;17865;76546;26232;102544;227456;56070;14746;55861;33739;36288;33099
31.12.2021;66-Jährige;128653;151010;36442;38423;7535;16738;72614;26422;98186;216546;53617;13919;57500;34495;35186;33107
31.12.2021;67-Jährige;123354;146197;35662;37487;7276;16197;70698;26068;95316;210454;52167;13948;56659;33395;34704;32366
31.12.2021;68-Jährige;117872;139482;34700;36607;6966;15340;66679;25375;91512;198712;50456;13521;56520;33305;32919;31950
