GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2021;01001;Flensburg, kreisfreie Stadt;2709;2561;3127;3775;2284;1893;8521;8197;6463;5135;4977;4855;6316;6342;5565;8861;9532;91113
31.12.2021;01002;Kiel, kreisfreie Stadt;6683;6485;7895;9617;5761;4834;21478;23093;20756;16442;14113;13308;16801;17553;14594;22414;24416;246243
31.12.2021;01003;Lübeck, kreisfreie Stadt;5371;5667;7127;8936;5508;3936;13454;14761;14604;13005;12474;12300;16194;17318;14692;23374;27556;216277
31.12.2021;01004;Neumünster, kreisfreie Stadt;2135;2128;2853;3697;2298;1532;4842;4684;5325;4690;4560;4571;6005;6275;5569;8583;9749;79496
31.12.2021;01051;Dithmarschen, Landkreis;3241;3458;4432;5992;3758;2747;7122;6977;7277;6906;7029;7536;10827;11875;10669;16993;17130;133969
31.12.2021;01053;Herzogtum Lauenburg, Landkreis;5541;6288;7847;9531;5929;3873;9392;9224;11444;12398;12401;12253;16357;17965;14752;21361;24263;200819
31.12.2021;01054;Nordfriesland, Landkreis;4161;4363;5608;7052;4663;3402;8496;9178;9762;9014;9158;9503;13350;15308;12980;20594;20968;167560
31.12.2021;01055;Ostholstein, Landkreis;4354;4701;6258;8320;5146;3606;8673;8746;10209;10197;10989;11581;16837;18785;16599;27375;29638;202014
31.12.2021;01056;Pinneberg, Landkreis;8827;9565;12188;15178;9164;6108;15580;15881;18550;19518;20334;19775;26261;27907;22430;32938;38122;318326
31.12.2021;01057;Plön, Landkreis;3191;3467;4568;5839;3643;2441;5393;5307;6606;6797;7218;7398;10875;11941;10120;16478;18405;129687
31.12.2021;01058;Rendsburg-Eckernförde, Landkreis;7285;7696;10232;13026;8223;5577;12872;12778;15050;15325;15708;16382;23145;25308;20764;32601;34081;276053
31.12.2021;01059;Schleswig-Flensburg, Landkreis;5553;5830;7578;9580;6011;3959;9299;9841;11642;11173;11460;11525;16633;18288;15478;24673;25276;203799
31.12.2021;01060;Segeberg, Landkreis;7693;8184;10725;13207;7990;5391;13208;13931;17268;17728;18060;17116;23204;24525;19790;29681;32699;280400
31.12.2021;01061;Steinburg, Landkreis;3260;3562;4668;5909;3726;2555;6305;6655;7647;7220;7195;7435;11388;12464;10317;14805;15732;130843
31.12.2021;01062;Stormarn, Landkreis;6534;7171;9735;12362;7166;4645;10912;10405;12713;14776;16055;15267;20706;21867;17212;26277;31603;245406
31.12.2021;02000;Hamburg, kreisfreie Stadt;59192;58315;70358;80540;47465;33078;110866;143011;156952;140074;129571;116403;132596;133562;105414;156060;180478;1853935
31.12.2021;03101;Braunschweig, kreisfreie Stadt;6789;6435;8045;9717;5831;4465;16837;20953;19910;16629;14982;14108;17693;18031;15617;24350;28431;248823
31.12.2021;03102;Salzgitter, kreisfreie Stadt;3383;3524;4237;5096;3079;2122;5838;5955;6279;5810;6039;5719;7368;8077;7233;11625;12310;103694
31.12.2021;03103;Wolfsburg, kreisfreie Stadt;3831;3994;4893;5477;3138;2251;6102;7489;8934;8597;8020;7002;8693;9326;8240;12847;15115;123949
31.12.2021;03151;Gifhorn, Landkreis;5666;5910;7306;8647;5280;3635;8263;8614;10919;11403;10848;10341;13996;16105;13852;19331;17803;177919
31.12.2021;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;03153;Goslar, Landkreis;2843;3040;3870;5188;3236;2403;7091;7438;7270;6838;7009;7408;10774;11686;10575;17683;19698;134050
31.12.2021;03154;Helmstedt, Landkreis;2655;2693;3258;3942;2484;1589;4190;4283;5557;5575;5578;5197;7149;8138;7295;10956;10840;91379
31.12.2021;03155;Northeim, Landkreis;3311;3401;4468;5546;3446;2465;6544;6331;7131;6951;7092;7327;10424;11935;10926;17077;17390;131765
31.12.2021;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;03157;Peine, Landkreis;4303;4418;5494;6549;4121;2766;6754;6651;8168;8274;8270;8278;11249;12038;9868;14732;15027;136960
31.12.2021;03158;Wolfenbüttel, Landkreis;3209;3281;4106;5105;3262;2258;5951;5805;6595;6680;6742;6896;9971;10971;9329;14152;14911;119224
31.12.2021;03159;Göttingen, Landkreis;8210;8745;10914;13643;8544;6329;21482;21780;20985;18841;17437;17541;23361;26194;24094;37326;38235;323661
31.12.2021;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;03241;Region Hannover, Landkreis;33404;33926;42753;52588;31151;21934;67925;77703;78834;73945;71569;68621;85707;91416;77215;117384;131466;1157541
31.12.2021;03251;Diepholz, Landkreis;6202;6342;7876;10147;6333;4364;11010;11173;12837;12544;12381;12780;18222;19610;16786;25111;25121;218839
31.12.2021;03252;Hameln-Pyrmont, Landkreis;4078;4166;5330;6560;4076;2899;7355;7514;8185;8002;8148;8235;11507;12981;11637;18219;20071;148963
31.12.2021;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;03254;Hildesheim, Landkreis;7267;7328;9530;11782;7621;5552;15978;15837;16138;15041;15310;15797;21308;23909;20854;31749;33772;274773
31.12.2021;03255;Holzminden, Landkreis;1721;1831;2309;2885;1812;1404;3602;3549;3811;3654;3647;3687;5454;6110;5594;9063;9729;69862
31.12.2021;03256;Nienburg (Weser), Landkreis;3354;3515;4512;5813;3663;2485;6505;6335;6898;6851;6715;6937;9732;10962;9658;14143;13695;121773
