Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
411,Unter 1,1643,849,794,1350,694,656,293,155,138,
"Darmstadt, Wissenschaftsstadt",  1 bis unter   2,1568,820,748,1323,688,635,245,132,113,
,  2 bis unter   3,1540,791,749,1264,647,617,276,144,132,
,  3 bis unter   4,1554,794,760,1240,632,608,314,162,152,
,  4 bis unter   5,1497,783,714,1192,623,569,305,160,145,
,  5 bis unter   6,1529,759,770,1208,608,600,321,151,170,
,  6 bis unter   7,1415,716,699,1118,553,565,297,163,134,
,  7 bis unter   8,1434,735,699,1168,591,577,266,144,122,
,  8 bis unter   9,1398,702,696,1150,574,576,248,128,120,
,  9 bis unter 10,1401,727,674,1137,603,534,264,124,140,
,10 bis unter 11,1403,709,694,1136,574,562,267,135,132,
,11 bis unter 12,1396,689,707,1133,554,579,263,135,128,
,12 bis unter 13,1363,730,633,1131,613,518,232,117,115,
,13 bis unter 14,1334,669,665,1118,545,573,216,124,92,
,14 bis unter 15,1432,726,706,1202,596,606,230,130,100,
,15 bis unter 16,1310,694,616,1102,572,530,208,122,86,
,16 bis unter 17,1346,699,647,1154,588,566,192,111,81,
,17 bis unter 18,1295,674,621,1068,555,513,227,119,108,
,18 bis unter 19,1492,769,723,1224,633,591,268,136,132,
,19 bis unter 20,1750,923,827,1405,724,681,345,199,146,
,20 bis unter 21,2128,1165,963,1664,883,781,464,282,182,
,21 bis unter 22,2635,1447,1188,2005,1062,943,630,385,245,
,22 bis unter 23,2949,1669,1280,2067,1094,973,882,575,307,
,23 bis unter 24,3172,1834,1338,2275,1257,1018,897,577,320,
,24 bis unter 25,3430,2029,1401,2387,1346,1041,1043,683,360,
,25 bis unter 26,3420,1976,1444,2352,1317,1035,1068,659,409,
,26 bis unter 27,3321,1890,1431,2216,1232,984,1105,658,447,
,27 bis unter 28,3230,1814,1416,2137,1163,974,1093,651,442,
,28 bis unter 29,3008,1673,1335,2041,1115,926,967,558,409,
,29 bis unter 30,3032,1655,1377,2131,1156,975,901,499,402,
,30 bis unter 31,2950,1603,1347,2065,1108,957,885,495,390,
,31 bis unter 32,3039,1685,1354,2162,1191,971,877,494,383,
,32 bis unter 33,2785,1584,1201,1985,1136,849,800,448,352,
,33 bis unter 34,2679,1469,1210,1989,1095,894,690,374,316,
,34 bis unter 35,2406,1286,1120,1746,928,818,660,358,302,
,35 bis unter 36,2353,1280,1073,1722,930,792,631,350,281,
,36 bis unter 37,2152,1138,1014,1595,849,746,557,289,268,
,37 bis unter 38,2116,1082,1034,1549,784,765,567,298,269,
,38 bis unter 39,2035,1058,977,1519,802,717,516,256,260,
,39 bis unter 40,2080,1037,1043,1556,772,784,524,265,259,
,40 bis unter 41,1931,967,964,1464,738,726,467,229,238,
,41 bis unter 42,1911,1009,902,1370,717,653,541,292,249,
,42 bis unter 43,1915,1006,909,1350,725,625,565,281,284,
